alert_id,timestamp,satellite_id,severity,affected_system,alert_type,description,acknowledged,acknowledged_by,resolution_status
ALERT-00001,2026-01-22 00:00:00,SENTINEL-9,INFO,ATTITUDE,ROUTINE,Attitude adjustment completed,YES,OP-TANAKA,RESOLVED
ALERT-00002,2026-01-22 03:00:00,SENTINEL-9,INFO,TELEMETRY,ROUTINE,Routine telemetry beacon received,YES,OP-TANAKA,RESOLVED
ALERT-00003,2026-01-22 07:00:00,SENTINEL-9,LOW,POWER,ADVISORY,Battery charge cycle initiated,YES,OP-MUELLER,RESOLVED
ALERT-00004,2026-01-22 11:00:00,SENTINEL-9,LOW,POWER,ADVISORY,Battery charge cycle initiated,YES,OP-MUELLER,RESOLVED
ALERT-00005,2026-01-22 15:00:00,SENTINEL-9,LOW,POWER,ADVISORY,Battery charge cycle initiated,YES,OP-KOWALSKI,RESOLVED
ALERT-00006,2026-01-22 19:00:00,SENTINEL-9,INFO,COMMS,ROUTINE,Scheduled ground pass completed,YES,OP-TANAKA,RESOLVED
ALERT-00007,2026-01-23 00:00:00,SENTINEL-9,LOW,THERMAL,ADVISORY,Minor thermal fluctuation detected - within tolerance,YES,OP-TANAKA,RESOLVED
ALERT-00008,2026-01-23 05:00:00,SENTINEL-9,INFO,TELEMETRY,ROUTINE,Routine telemetry beacon received,YES,OP-CHEN,RESOLVED
ALERT-00009,2026-01-23 08:00:00,SENTINEL-9,LOW,THERMAL,ADVISORY,Minor thermal fluctuation detected - within tolerance,YES,OP-CHEN,RESOLVED
ALERT-00010,2026-01-23 11:00:00,SENTINEL-9,INFO,TELEMETRY,ROUTINE,Routine telemetry beacon received,YES,OP-JENSEN,RESOLVED
ALERT-00011,2026-01-23 14:00:00,SENTINEL-9,INFO,ATTITUDE,ROUTINE,Attitude adjustment completed,YES,OP-RODRIGUEZ,RESOLVED
ALERT-00012,2026-01-23 19:00:00,SENTINEL-9,INFO,TELEMETRY,ROUTINE,Routine telemetry beacon received,YES,OP-JENSEN,RESOLVED
ALERT-00013,2026-01-24 00:00:00,SENTINEL-9,LOW,POWER,ADVISORY,Battery charge cycle initiated,YES,OP-MUELLER,RESOLVED
ALERT-00014,2026-01-24 03:00:00,SENTINEL-9,INFO,TELEMETRY,ROUTINE,Routine telemetry beacon received,YES,OP-KOWALSKI,RESOLVED
ALERT-00015,2026-01-24 05:00:00,SENTINEL-9,LOW,POWER,ADVISORY,Battery charge cycle initiated,YES,OP-KOWALSKI,RESOLVED
ALERT-00016,2026-01-24 08:00:00,SENTINEL-9,INFO,COMMS,ROUTINE,Scheduled ground pass completed,YES,OP-MUELLER,RESOLVED
ALERT-00017,2026-01-24 12:00:00,SENTINEL-9,INFO,TELEMETRY,ROUTINE,Routine telemetry beacon received,YES,OP-CHEN,RESOLVED
ALERT-00018,2026-01-24 17:00:00,SENTINEL-9,LOW,THERMAL,ADVISORY,Minor thermal fluctuation detected - within tolerance,YES,OP-JENSEN,RESOLVED
ALERT-00019,2026-01-24 20:00:00,SENTINEL-9,INFO,ATTITUDE,ROUTINE,Attitude adjustment completed,YES,OP-RODRIGUEZ,RESOLVED
ALERT-00020,2026-01-25 01:00:00,SENTINEL-9,INFO,COMMS,ROUTINE,Scheduled ground pass completed,YES,OP-JENSEN,RESOLVED
ALERT-00021,2026-01-25 05:00:00,SENTINEL-9,LOW,THERMAL,ADVISORY,Minor thermal fluctuation detected - within tolerance,YES,OP-MUELLER,RESOLVED
ALERT-00022,2026-01-25 09:00:00,SENTINEL-9,INFO,COMMS,ROUTINE,Scheduled ground pass completed,YES,OP-MUELLER,RESOLVED
ALERT-00023,2026-01-25 12:00:00,SENTINEL-9,INFO,ATTITUDE,ROUTINE,Attitude adjustment completed,YES,OP-CHEN,RESOLVED
ALERT-00024,2026-01-25 17:00:00,SENTINEL-9,INFO,TELEMETRY,ROUTINE,Routine telemetry beacon received,YES,OP-TANAKA,RESOLVED
ALERT-00025,2026-01-25 20:00:00,SENTINEL-9,INFO,PAYLOAD,ROUTINE,Imaging task completed successfully,YES,OP-CHEN,RESOLVED
ALERT-00026,2026-01-26 01:00:00,SENTINEL-9,LOW,THERMAL,ADVISORY,Minor thermal fluctuation detected - within tolerance,YES,OP-TANAKA,RESOLVED
ALERT-00027,2026-01-26 03:00:00,SENTINEL-9,LOW,THERMAL,ADVISORY,Minor thermal fluctuation detected - within tolerance,YES,OP-RODRIGUEZ,RESOLVED
ALERT-00028,2026-01-26 06:00:00,SENTINEL-9,INFO,COMMS,ROUTINE,Scheduled ground pass completed,YES,OP-KOWALSKI,RESOLVED
ALERT-00029,2026-01-26 08:00:00,SENTINEL-9,LOW,POWER,ADVISORY,Battery charge cycle initiated,YES,OP-JENSEN,RESOLVED
ALERT-00030,2026-01-26 13:00:00,SENTINEL-9,INFO,TELEMETRY,ROUTINE,Routine telemetry beacon received,YES,OP-RODRIGUEZ,RESOLVED
ALERT-00031,2026-01-26 15:00:00,SENTINEL-9,INFO,PAYLOAD,ROUTINE,Imaging task completed successfully,YES,OP-RODRIGUEZ,RESOLVED
