command_id,timestamp,satellite_id,command_type,source_station_id,source_station_location,operator_id,auth_token_hash,target_lat,target_lon,target_name,priority,response_code,execution_status,execution_duration_ms
CMD-000001,2026-01-22 00:00:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-CHARLIE-3,"Svalbard, Norway",OP-TANAKA,B4131172B385800B,71.6818,150.1117,NSR-WAYPOINT-DELTA,ROUTINE,ACK_SUCCESS,EXECUTED,111
CMD-000002,2026-01-22 00:08:00,SENTINEL-9,ATTITUDE_ADJUST,GS-DELTA-4,"McMurdo, Antarctica",OP-MUELLER,75F20CA47FFB3977,75.4391,68.3507,NSR-WAYPOINT-ALPHA,ROUTINE,ACK_SUCCESS,EXECUTED,469
CMD-000003,2026-01-22 00:13:00,SENTINEL-9,IMAGE_CAPTURE,GS-DELTA-4,"McMurdo, Antarctica",OP-KOWALSKI,35EDC09C110A7490,75.5703,68.4906,NSR-WAYPOINT-ALPHA,ROUTINE,ACK_SUCCESS,EXECUTED,258
CMD-000004,2026-01-22 00:21:00,SENTINEL-9,TELEMETRY_REQUEST,GS-CHARLIE-3,"Svalbard, Norway",OP-MUELLER,43AA7F43A484E906,77.364,45.119,NSR-WAYPOINT-ECHO,PRIORITY,ACK_SUCCESS,EXECUTED,462
CMD-000005,2026-01-22 00:27:00,SENTINEL-9,SAFE_MODE_CHECK,GS-BRAVO-2,"Fairbanks, Alaska",OP-TANAKA,097AB6EE3169305D,75.5749,68.5005,NSR-WAYPOINT-ALPHA,ROUTINE,ACK_SUCCESS,EXECUTED,111
CMD-000006,2026-01-22 00:37:00,SENTINEL-9,IMAGE_CAPTURE,GS-BRAVO-2,"Fairbanks, Alaska",OP-CHEN,19DB94D3328B5FA0,71.5942,150.1505,NSR-WAYPOINT-DELTA,ROUTINE,ACK_SUCCESS,EXECUTED,89
CMD-000007,2026-01-22 00:42:00,SENTINEL-9,IMAGE_CAPTURE,GS-ALPHA-1,"Thule, Greenland",OP-RODRIGUEZ,3754978CEDC0094D,73.8949,125.3792,NSR-WAYPOINT-CHARLIE,ROUTINE,ACK_SUCCESS,EXECUTED,267
CMD-000008,2026-01-22 00:50:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-BRAVO-2,"Fairbanks, Alaska",OP-TANAKA,36279B1E38FF8609,76.2119,96.7792,NSR-WAYPOINT-BRAVO,ROUTINE,ACK_SUCCESS,EXECUTED,343
CMD-000009,2026-01-22 01:01:00,SENTINEL-9,TELEMETRY_REQUEST,GS-ALPHA-1,"Thule, Greenland",OP-RODRIGUEZ,4C9F5337C9550399,76.895,67.5857,NOVAYA-ZEMLYA-NORTH,PRIORITY,ACK_SUCCESS,EXECUTED,454
CMD-000010,2026-01-22 01:05:00,SENTINEL-9,CONFIG_UPDATE,GS-BRAVO-2,"Fairbanks, Alaska",OP-TANAKA,863B56B07819C484,78.1829,15.6624,SVALBARD-MONITOR,PRIORITY,ACK_SUCCESS,EXECUTED,437
CMD-000011,2026-01-22 01:11:00,SENTINEL-9,CALIBRATION,GS-DELTA-4,"McMurdo, Antarctica",OP-RODRIGUEZ,3D909076D160EC95,77.0047,67.6296,NOVAYA-ZEMLYA-NORTH,ROUTINE,ACK_SUCCESS,EXECUTED,441
CMD-000012,2026-01-22 01:17:00,SENTINEL-9,CALIBRATION,GS-ALPHA-1,"Thule, Greenland",OP-RODRIGUEZ,FA588B6C1BC5EE04,77.5058,45.1287,NSR-WAYPOINT-ECHO,ROUTINE,ACK_SUCCESS,EXECUTED,169
CMD-000013,2026-01-22 01:21:00,SENTINEL-9,SAFE_MODE_CHECK,GS-BRAVO-2,"Fairbanks, Alaska",OP-RODRIGUEZ,C2966600CF1CBAED,76.1202,96.7228,NSR-WAYPOINT-BRAVO,PRIORITY,ACK_SUCCESS,EXECUTED,153
