image_id,capture_timestamp,metadata_timestamp,downlink_timestamp,satellite_id,sensor_id,sensor_mode,target_lat,target_lon,target_name,pointing_azimuth_deg,pointing_elevation_deg,exposure_ms,gain_setting,sun_angle_deg,eclipse_status,resolution_m,compression_ratio,file_size_mb,pixelation_index,noise_floor_db,calibration_drift,hash_verification_status,metadata_hash,commanding_station,collection_priority
IMG-000001,2026-01-22 01:00:00,2026-01-22 01:00:00,2026-01-22 01:31:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,75.4883,68.4474,NSR-WAYPOINT-ALPHA,68.241,85.036,9,2,15.16,SUNLIT,0.37,0.926,69.27,0.0418,-51.35,0.0113,VALID,A953F0D0743B4CB8,GS-DELTA-4,SCHEDULED
IMG-000002,2026-01-22 01:03:00,2026-01-22 01:03:00,2026-01-22 01:15:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,71.6603,150.2549,NSR-WAYPOINT-DELTA,151.216,87.519,7,1,14.0,SUNLIT,0.42,0.929,76.87,0.0232,-50.23,0.0047,VALID,E5B7190309D64CEC,GS-DELTA-4,OPPORTUNISTIC
IMG-000003,2026-01-22 01:06:00,2026-01-22 01:06:00,2026-01-22 01:33:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,76.1901,96.7335,NSR-WAYPOINT-BRAVO,96.211,83.305,6,2,10.3,SUNLIT,0.41,0.939,49.35,0.0444,-50.48,0.0193,VALID,F5274F8D77EFA45A,GS-ALPHA-1,OPPORTUNISTIC
IMG-000004,2026-01-22 01:11:00,2026-01-22 01:11:00,2026-01-22 01:49:00,SENTINEL-9,EO-PRIMARY,STARING,76.93,67.5427,NOVAYA-ZEMLYA-NORTH,68.756,82.105,11,1,16.52,SUNLIT,0.5,0.944,71.36,0.0326,-50.95,0.0125,VALID,00D83E0B46319123,GS-CHARLIE-3,OPPORTUNISTIC
IMG-000005,2026-01-22 01:14:00,2026-01-22 01:14:00,2026-01-22 01:30:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,71.6717,150.2344,NSR-WAYPOINT-DELTA,152.081,88.211,9,1,15.34,SUNLIT,0.38,0.973,71.65,0.0159,-49.97,0.0133,VALID,43C311CD89A04114,GS-BRAVO-2,SCHEDULED
IMG-000006,2026-01-22 01:17:00,2026-01-22 01:17:00,2026-01-22 01:48:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,76.9395,67.5533,NOVAYA-ZEMLYA-NORTH,68.802,82.903,5,1,13.22,SUNLIT,0.46,0.953,64.54,0.0319,-49.84,0.0027,VALID,836F6146453A7206,GS-ALPHA-1,SCHEDULED
IMG-000007,2026-01-22 01:21:00,2026-01-22 01:21:00,2026-01-22 01:52:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,78.2256,15.6131,SVALBARD-MONITOR,13.649,80.853,5,1,11.27,SUNLIT,0.46,0.974,68.04,0.0233,-50.16,0.0192,VALID,83A8D318537F436A,GS-CHARLIE-3,PRIORITY
IMG-000008,2026-01-22 01:24:00,2026-01-22 01:24:00,2026-01-22 01:39:00,SENTINEL-9,EO-PRIMARY,STARING,78.1847,15.5936,SVALBARD-MONITOR,14.718,82.647,8,1,20.6,SUNLIT,0.41,0.978,73.29,0.0458,-50.83,0.0149,VALID,08246BDC41E77ECE,GS-BRAVO-2,OPPORTUNISTIC
IMG-000009,2026-01-22 01:28:00,2026-01-22 01:28:00,2026-01-22 01:53:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,76.9117,67.5674,NOVAYA-ZEMLYA-NORTH,69.317,83.61,7,1,23.23,SUNLIT,0.42,0.953,72.27,0.0392,-51.64,0.0077,VALID,E23E29D60DDE9F59,GS-BRAVO-2,SCHEDULED
IMG-000010,2026-01-22 01:31:00,2026-01-22 01:31:00,2026-01-22 02:05:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,80.1287,52.743,FRANZ-JOSEF-LAND,50.854,79.436,7,1,15.14,SUNLIT,0.43,0.929,68.74,0.04,-48.97,0.0134,VALID,FE35FDFA3735033C,GS-ALPHA-1,SCHEDULED
IMG-000011,2026-01-22 01:35:00,2026-01-22 01:35:00,2026-01-22 02:12:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,75.4936,68.4166,NSR-WAYPOINT-ALPHA,69.422,83.858,6,1,6.02,SUNLIT,0.44,0.949,71.74,0.0439,-50.82,0.0132,VALID,A2ACBDEC4897FDF2,GS-DELTA-4,PRIORITY
IMG-000012,2026-01-22 01:38:00,2026-01-22 01:38:00,2026-01-22 01:52:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,76.9009,67.5696,NOVAYA-ZEMLYA-NORTH,68.394,82.825,7,1,18.98,SUNLIT,0.37,0.937,68.36,0.047,-51.77,0.0012,VALID,AD377D2CFC12E8D5,GS-ALPHA-1,SCHEDULED
IMG-000013,2026-01-22 01:42:00,2026-01-22 01:42:00,2026-01-22 02:21:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,71.6387,150.256,NSR-WAYPOINT-DELTA,149.718,87.8,7,1,10.11,SUNLIT,0.4,0.948,81.52,0.04,-49.32,0.0063,VALID,0928DC20061DAB6B,GS-ALPHA-1,PRIORITY
IMG-000014,2026-01-22 01:45:00,2026-01-22 01:45:00,2026-01-22 02:20:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,75.5527,68.4633,NSR-WAYPOINT-ALPHA,67.67,84.975,5,2,23.3,SUNLIT,0.39,0.938,57.95,0.0185,-48.1,0.0148,VALID,8BBAB17D4B6FFC9C,GS-CHARLIE-3,OPPORTUNISTIC
