task_id,scheduled_start,scheduled_end,satellite_id,activity_type,target_area,target_lat,target_lon,priority,requesting_unit,classification,status,notes
TASK-000001,2026-01-22 00:00:00,2026-01-22 00:21:00,SENTINEL-9,PRIMARY_COLLECTION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,LOW,USSPACECOM,SECRET,IN_PROGRESS,
TASK-000002,2026-01-22 00:18:00,2026-01-22 00:32:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-CHARLIE,73.85,125.33,LOW,NORTHCOM-J2,TOP SECRET,COMPLETED,
TASK-000003,2026-01-22 00:29:00,2026-01-22 00:42:00,SENTINEL-9,DOWNLINK_PASS,SVALBARD-MONITOR,78.23,15.63,LOW,USSPACECOM,UNCLASSIFIED,CANCELLED,
TASK-000004,2026-01-22 00:44:00,2026-01-22 01:01:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-ALPHA,75.52,68.43,MEDIUM,NORTHCOM-J2,TOP SECRET,COMPLETED,
TASK-000005,2026-01-22 01:03:00,2026-01-22 01:15:00,SENTINEL-9,PRIMARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,LOW,INDOPACOM-J2,SECRET,SCHEDULED,
TASK-000006,2026-01-22 01:21:00,2026-01-22 01:46:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-BRAVO,76.18,96.72,HIGH,NASIC,UNCLASSIFIED,COMPLETED,
TASK-000007,2026-01-22 01:33:00,2026-01-22 01:48:00,SENTINEL-9,SECONDARY_COLLECTION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,LOW,NORAD,TOP SECRET,COMPLETED,
TASK-000008,2026-01-22 01:46:00,2026-01-22 01:53:00,SENTINEL-9,SECONDARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,LOW,INDOPACOM-J2,UNCLASSIFIED,COMPLETED,
TASK-000009,2026-01-22 02:03:00,2026-01-22 02:31:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-ECHO,77.43,45.18,LOW,USSPACECOM,SECRET,SCHEDULED,
TASK-000010,2026-01-22 02:14:00,2026-01-22 02:30:00,SENTINEL-9,DOWNLINK_PASS,FRANZ-JOSEF-LAND,80.12,52.73,HIGH,EUCOM-J2,SECRET,SCHEDULED,
