session_id,timestamp,satellite_id,ground_station_id,direction,protocol,packet_size_bytes,data_type,encryption_status,link_quality_pct,bit_error_rate,latency_ms,anomaly_flag
SESS-000001,2026-01-22 00:00:00,SENTINEL-9,GS-CHARLIE-3,UPLINK,DTN,2171,HOUSEKEEPING,AES-256,99.1,6.004e-09,246,NONE
SESS-000002,2026-01-22 00:01:02,SENTINEL-9,GS-CHARLIE-3,UPLINK,PROXIMITY-1,2367,TELEMETRY,AES-256,94.38,4.217e-09,265,NONE
SESS-000003,2026-01-22 00:03:06,SENTINEL-9,GS-DELTA-4,UPLINK,DTN,3153,PAYLOAD_DATA,AES-256,96.62,4.795e-09,258,NONE
SESS-000004,2026-01-22 00:05:12,SENTINEL-9,GS-BRAVO-2,DOWNLINK,PROXIMITY-1,945,COMMAND,NONE,92.54,5.082e-09,273,NONE
SESS-000005,2026-01-22 00:07:11,SENTINEL-9,GS-BRAVO-2,UPLINK,DTN,810,TELEMETRY,AES-128,95.82,4.063e-09,245,NONE
SESS-000006,2026-01-22 00:09:46,SENTINEL-9,GS-DELTA-4,UPLINK,DTN,1248,HOUSEKEEPING,NONE,98.75,8.952e-09,240,NONE
SESS-000007,2026-01-22 00:10:27,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,CCSDS,600,HOUSEKEEPING,AES-256,97.06,1.784e-09,262,NONE
SESS-000008,2026-01-22 00:11:16,SENTINEL-9,GS-DELTA-4,DOWNLINK,DTN,1922,HOUSEKEEPING,AES-256,93.22,2.028e-09,275,NONE
SESS-000009,2026-01-22 00:12:51,SENTINEL-9,GS-DELTA-4,UPLINK,PROXIMITY-1,2181,TELEMETRY,AES-256,98.13,1.696e-09,246,NONE
SESS-000010,2026-01-22 00:13:38,SENTINEL-9,GS-BRAVO-2,DOWNLINK,CCSDS,1995,TELEMETRY,AES-256,97.98,3.963e-09,248,NONE
SESS-000011,2026-01-22 00:16:06,SENTINEL-9,GS-ALPHA-1,DOWNLINK,DTN,910,COMMAND,AES-256,92.53,9.069e-09,267,NONE
SESS-000012,2026-01-22 00:16:41,SENTINEL-9,GS-BRAVO-2,DOWNLINK,DTN,2150,COMMAND,AES-256,98.76,5.992e-09,258,NONE
SESS-000013,2026-01-22 00:18:16,SENTINEL-9,GS-DELTA-4,UPLINK,DTN,2455,HOUSEKEEPING,AES-256,96.21,6.024e-09,275,NONE
SESS-000014,2026-01-22 00:19:54,SENTINEL-9,GS-DELTA-4,DOWNLINK,PROXIMITY-1,1054,COMMAND,AES-256,94.92,2.828e-09,256,NONE
SESS-000015,2026-01-22 00:22:30,SENTINEL-9,GS-CHARLIE-3,UPLINK,DTN,2020,TELEMETRY,AES-256,92.38,5.94e-10,265,NONE
SESS-000016,2026-01-22 00:25:04,SENTINEL-9,GS-DELTA-4,DOWNLINK,DTN,625,TELEMETRY,AES-256,97.61,1.71e-09,257,NONE
