record_id,timestamp,satellite_id,subsystem,metric_name,metric_value,unit,status,quality_flag
TEL-000001,2026-01-22 00:00:00,SENTINEL-9,POWER,battery_level_pct,74.81181,%,NOMINAL,VALID
TEL-000002,2026-01-22 00:00:00,SENTINEL-9,POWER,solar_array_output_w,2875.720003,W,NOMINAL,VALID
TEL-000003,2026-01-22 00:00:00,SENTINEL-9,POWER,bus_voltage_v,28.064958,V,NOMINAL,VALID
TEL-000004,2026-01-22 00:00:00,SENTINEL-9,THERMAL,payload_temp_c,22.588793,°C,NOMINAL,VALID
TEL-000005,2026-01-22 00:00:00,SENTINEL-9,THERMAL,bus_temp_c,18.048206,°C,NOMINAL,VALID
TEL-000006,2026-01-22 00:00:00,SENTINEL-9,THERMAL,battery_temp_c,15.043134,°C,NOMINAL,VALID
TEL-000007,2026-01-22 00:00:00,SENTINEL-9,ATTITUDE,pointing_error_arcsec,0.136743,arcsec,NOMINAL,VALID
TEL-000008,2026-01-22 00:00:00,SENTINEL-9,ATTITUDE,reaction_wheel_rpm,2435.15291,RPM,NOMINAL,VALID
TEL-000009,2026-01-22 00:00:00,SENTINEL-9,ATTITUDE,gyro_drift_deg_hr,0.00101,deg/hr,NOMINAL,VALID
TEL-000010,2026-01-22 00:00:00,SENTINEL-9,COMMS,signal_strength_dbm,-86.06117,dBm,NOMINAL,VALID
TEL-000011,2026-01-22 00:00:00,SENTINEL-9,COMMS,bit_error_rate,0.0,ratio,NOMINAL,VALID
TEL-000012,2026-01-22 00:00:00,SENTINEL-9,COMMS,link_margin_db,12.96991,dB,NOMINAL,VALID
TEL-000013,2026-01-22 00:00:00,SENTINEL-9,PAYLOAD,sensor_temp_c,-45.500528,°C,NOMINAL,VALID
TEL-000014,2026-01-22 00:00:00,SENTINEL-9,PAYLOAD,focal_plane_temp_k,84.755488,K,NOMINAL,VALID
TEL-000015,2026-01-22 00:00:00,SENTINEL-9,PAYLOAD,shutter_cycles,1847527.0,count,NOMINAL,VALID
TEL-000016,2026-01-22 00:26:23,SENTINEL-9,POWER,battery_level_pct,90.27784,%,NOMINAL,VALID
TEL-000017,2026-01-22 00:26:23,SENTINEL-9,POWER,solar_array_output_w,2717.187139,W,NOMINAL,VALID
TEL-000018,2026-01-22 00:26:23,SENTINEL-9,POWER,bus_voltage_v,27.866457,V,NOMINAL,VALID
TEL-000019,2026-01-22 00:26:23,SENTINEL-9,THERMAL,payload_temp_c,22.522297,°C,NOMINAL,VALID
TEL-000020,2026-01-22 00:26:23,SENTINEL-9,THERMAL,bus_temp_c,18.226698,°C,NOMINAL,VALID
TEL-000021,2026-01-22 00:26:23,SENTINEL-9,THERMAL,battery_temp_c,14.99328,°C,NOMINAL,VALID
TEL-000022,2026-01-22 00:26:23,SENTINEL-9,ATTITUDE,pointing_error_arcsec,0.164213,arcsec,NOMINAL,VALID
TEL-000023,2026-01-22 00:26:23,SENTINEL-9,ATTITUDE,reaction_wheel_rpm,2374.346049,RPM,NOMINAL,VALID
TEL-000024,2026-01-22 00:26:23,SENTINEL-9,ATTITUDE,gyro_drift_deg_hr,0.000959,deg/hr,NOMINAL,VALID
TEL-000025,2026-01-22 00:26:23,SENTINEL-9,COMMS,signal_strength_dbm,-85.603769,dBm,NOMINAL,VALID
TEL-000026,2026-01-22 00:26:23,SENTINEL-9,COMMS,bit_error_rate,0.0,ratio,NOMINAL,VALID
TEL-000027,2026-01-22 00:26:23,SENTINEL-9,COMMS,link_margin_db,12.983231,dB,NOMINAL,VALID
TEL-000028,2026-01-22 00:26:23,SENTINEL-9,PAYLOAD,sensor_temp_c,-45.169954,°C,NOMINAL,VALID
TEL-000029,2026-01-22 00:26:23,SENTINEL-9,PAYLOAD,focal_plane_temp_k,85.305949,K,NOMINAL,VALID
TEL-000030,2026-01-22 00:26:23,SENTINEL-9,PAYLOAD,shutter_cycles,1847529.0,count,NOMINAL,VALID
TEL-000031,2026-01-22 00:48:15,SENTINEL-9,POWER,battery_level_pct,87.002114,%,NOMINAL,VALID
TEL-000032,2026-01-22 00:48:15,SENTINEL-9,POWER,solar_array_output_w,0.0,W,NOMINAL,VALID
TEL-000033,2026-01-22 00:48:15,SENTINEL-9,POWER,bus_voltage_v,28.125688,V,NOMINAL,VALID
TEL-000034,2026-01-22 00:48:15,SENTINEL-9,THERMAL,payload_temp_c,22.919069,°C,NOMINAL,VALID
TEL-000035,2026-01-22 00:48:15,SENTINEL-9,THERMAL,bus_temp_c,18.525747,°C,NOMINAL,VALID
TEL-000036,2026-01-22 00:48:15,SENTINEL-9,THERMAL,battery_temp_c,15.110904,°C,NOMINAL,VALID
TEL-000037,2026-01-22 00:48:15,SENTINEL-9,ATTITUDE,pointing_error_arcsec,0.13793,arcsec,NOMINAL,VALID
TEL-000038,2026-01-22 00:48:15,SENTINEL-9,ATTITUDE,reaction_wheel_rpm,2417.686371,RPM,NOMINAL,VALID
TEL-000039,2026-01-22 00:48:15,SENTINEL-9,ATTITUDE,gyro_drift_deg_hr,0.000994,deg/hr,NOMINAL,VALID
TEL-000040,2026-01-22 00:48:15,SENTINEL-9,COMMS,signal_strength_dbm,-83.072395,dBm,NOMINAL,VALID
TEL-000041,2026-01-22 00:48:15,SENTINEL-9,COMMS,bit_error_rate,0.0,ratio,NOMINAL,VALID
TEL-000042,2026-01-22 00:48:15,SENTINEL-9,COMMS,link_margin_db,12.034389,dB,NOMINAL,VALID
TEL-000043,2026-01-22 00:48:15,SENTINEL-9,PAYLOAD,sensor_temp_c,-45.570026,°C,NOMINAL,VALID
TEL-000044,2026-01-22 00:48:15,SENTINEL-9,PAYLOAD,focal_plane_temp_k,84.794963,K,NOMINAL,VALID
TEL-000045,2026-01-22 00:48:15,SENTINEL-9,PAYLOAD,shutter_cycles,1847530.0,count,NOMINAL,VALID
TEL-000046,2026-01-22 01:16:02,SENTINEL-9,POWER,battery_level_pct,72.507408,%,NOMINAL,VALID
TEL-000047,2026-01-22 01:16:02,SENTINEL-9,POWER,solar_array_output_w,0.0,W,NOMINAL,VALID
