nsn,item_name,item_description,category,subcategory,unit_of_issue,unit_price,weight_lbs,cube_ft,shelf_life_days,temp_rating_f,critical_item,primary_vendor
8415-01-545-8556,"PARKA, EXTREME COLD WEATHER, GEN III ECWCS","Cold weather parka rated to -60°F, Level VII ECWCS",CLOTHING,COLD_WEATHER,EA,485.0,4.2,0.8,N/A,-60,YES,V-001
8415-01-545-8612,"TROUSERS, EXTREME COLD WEATHER, GEN III ECWCS","Cold weather trousers rated to -60°F, Level VII ECWCS",CLOTHING,COLD_WEATHER,EA,325.0,2.8,0.5,N/A,-60,YES,V-001
8430-01-562-7014,"BOOTS, EXTREME COLD, VAPOR BARRIER","Bunny boots, vapor barrier cold weather boots rated to -65°F",FOOTWEAR,COLD_WEATHER,PR,245.0,6.5,0.6,N/A,-65,YES,V-001
8415-01-228-1327,"GLOVES, COLD WEATHER, ARCTIC MITTEN SET","Arctic mitten system with trigger finger, rated to -60°F",CLOTHING,COLD_WEATHER,PR,89.0,0.8,0.15,N/A,-60,YES,V-001
8415-01-577-6232,"BALACLAVA, COLD WEATHER, FLEECE",Fleece balaclava for extreme cold protection,CLOTHING,COLD_WEATHER,EA,32.0,0.2,0.05,N/A,-40,NO,V-001
8465-01-547-2757,"SLEEPING BAG, EXTREME COLD WEATHER, -50°F","Modular sleep system extreme cold component, rated to -50°F",SHELTER,SLEEPING_SYSTEMS,EA,412.0,5.8,1.2,N/A,-50,YES,V-001
8465-01-398-4323,"SLEEPING PAD, INSULATED, ARCTIC","Self-inflating insulated sleeping pad, R-value 6.0",SHELTER,SLEEPING_SYSTEMS,EA,145.0,2.2,0.4,N/A,-50,NO,V-001
2310-01-542-8920,"SNOWMOBILE, MILITARY, ARCTIC OPERATIONS",Military-spec snowmobile for Arctic patrol operations,VEHICLES,SNOW_VEHICLES,EA,18500.0,485.0,45.0,N/A,-60,YES,V-002
2310-01-567-3421,"TRACKED VEHICLE, SMALL UNIT SUPPORT, ARCTIC",Small unit support vehicle (SUSV) for Arctic operations,VEHICLES,TRACKED_VEHICLES,EA,245000.0,12500.0,850.0,N/A,-65,YES,V-002
9140-01-352-4679,"FUEL, DIESEL, ARCTIC GRADE DF-A","Arctic-grade diesel fuel, pour point -60°F, 55-gallon drum",FUEL,DIESEL,DR,285.0,425.0,8.5,365,-60,YES,V-002
9130-01-286-5294,"FUEL, JP-8, AVIATION/MULTI-USE","JP-8 aviation fuel, multi-use, 55-gallon drum",FUEL,AVIATION,DR,312.0,398.0,8.5,365,-50,YES,V-002
9110-01-487-3256,"FUEL, PROPANE, HEATING, 100LB CYLINDER","Propane fuel for portable heaters, 100lb cylinder",FUEL,PROPANE,CY,165.0,170.0,4.2,N/A,-44,YES,V-002
4520-01-431-8967,"HEATER, SPACE, PORTABLE, MULTI-FUEL","H-45 portable multi-fuel space heater, 45,000 BTU",EQUIPMENT,HEATING,EA,2850.0,85.0,12.0,N/A,-60,YES,V-003
4520-01-523-6789,"HEATER, TENT, HUNTER, PROPANE","Tent heater, propane-fired, 35,000 BTU",EQUIPMENT,HEATING,EA,1245.0,42.0,6.0,N/A,-50,YES,V-003
6115-01-462-3892,"GENERATOR, DIESEL, 10KW, ARCTIC","Tactical quiet generator, 10kW, cold-start to -50°F",EQUIPMENT,POWER,EA,28500.0,1250.0,65.0,N/A,-50,YES,V-003
6115-01-534-2156,"GENERATOR, DIESEL, 30KW, ARCTIC","Tactical quiet generator, 30kW, cold-start to -50°F",EQUIPMENT,POWER,EA,67000.0,3200.0,145.0,N/A,-50,YES,V-003
6140-01-490-4458,"BATTERY, STORAGE, 12V, COLD WEATHER","Vehicle battery, 12V, Arctic-rated AGM, 850 CCA",EQUIPMENT,POWER,EA,285.0,52.0,0.8,730,-60,YES,V-003
8970-01-521-6458,"RATION, COLD WEATHER, MCW","Meal Cold Weather (MCW), high-calorie Arctic ration, case of 12",SUBSISTENCE,RATIONS,CS,185.0,18.0,1.2,1095,-60,YES,V-004
8970-01-097-4516,"RATION, MRE, STANDARD, CASE","Meal Ready-to-Eat, standard ration, case of 12",SUBSISTENCE,RATIONS,CS,112.0,22.0,1.4,1825,0,NO,V-004
8960-01-532-6780,"BEVERAGE, HOT, INSTANT, VARIETY PACK","Hot beverage mix variety (coffee, cocoa, cider), case of 200",SUBSISTENCE,BEVERAGES,CS,78.0,12.0,0.8,730,-40,NO,V-004
5820-01-567-8901,"RADIO, SATCOM, PORTABLE, AN/PRC-162","Portable satellite communication radio, Arctic-rated",COMMUNICATIONS,SATCOM,EA,32500.0,8.5,0.4,N/A,-50,YES,V-005
5820-01-534-2890,"RADIO, HANDHELD, AN/PRC-152A","Multiband handheld radio, cold weather operations",COMMUNICATIONS,TACTICAL_RADIO,EA,12800.0,2.4,0.15,N/A,-40,YES,V-005
