nsn,item_name,vendor_id,vendor_name,contract_number,standard_lead_time_days,weather_adjusted_lead_time_days,shipping_method,unit_price,min_order_qty,bulk_discount_threshold,bulk_discount_pct
8415-01-545-8556,"PARKA, EXTREME COLD WEATHER, GEN III ECWCS",V-001,Arctic Defense Solutions LLC,W91CRB-25-D-0042,5,10,AIR_FREIGHT,485.0,10,10,5
8415-01-545-8612,"TROUSERS, EXTREME COLD WEATHER, GEN III ECWCS",V-001,Arctic Defense Solutions LLC,W91CRB-25-D-0042,5,10,AIR_FREIGHT,325.0,10,10,5
8430-01-562-7014,"BOOTS, EXTREME COLD, VAPOR BARRIER",V-001,Arctic Defense Solutions LLC,W91CRB-25-D-0042,5,10,AIR_FREIGHT,245.0,10,10,5
8415-01-228-1327,"GLOVES, COLD WEATHER, ARCTIC MITTEN SET",V-001,Arctic Defense Solutions LLC,W91CRB-25-D-0042,5,10,AIR_FREIGHT,89.0,10,50,5
8415-01-577-6232,"BALACLAVA, COLD WEATHER, FLEECE",V-001,Arctic Defense Solutions LLC,W91CRB-25-D-0042,5,10,AIR_FREIGHT,32.0,10,50,5
8465-01-547-2757,"SLEEPING BAG, EXTREME COLD WEATHER, -50°F",V-001,Arctic Defense Solutions LLC,W91CRB-25-D-0042,5,10,AIR_FREIGHT,412.0,10,10,5
8465-01-398-4323,"SLEEPING PAD, INSULATED, ARCTIC",V-001,Arctic Defense Solutions LLC,W91CRB-25-D-0042,5,10,AIR_FREIGHT,145.0,10,10,5
2310-01-542-8920,"SNOWMOBILE, MILITARY, ARCTIC OPERATIONS",V-002,Northern Logistics Inc,W91CRB-25-D-0087,3,8,GROUND_CONVOY,18500.0,1,10,5
2310-01-567-3421,"TRACKED VEHICLE, SMALL UNIT SUPPORT, ARCTIC",V-002,Northern Logistics Inc,W91CRB-25-D-0087,3,8,GROUND_CONVOY,245000.0,1,10,5
9140-01-352-4679,"FUEL, DIESEL, ARCTIC GRADE DF-A",V-002,Northern Logistics Inc,W91CRB-25-D-0087,3,8,GROUND_CONVOY,285.0,10,10,5
9130-01-286-5294,"FUEL, JP-8, AVIATION/MULTI-USE",V-002,Northern Logistics Inc,W91CRB-25-D-0087,3,8,GROUND_CONVOY,312.0,10,10,5
