forecast_date,day_number,temp_high_f,temp_low_f,wind_speed_mph,wind_chill_f,conditions,visibility,precipitation_chance_pct,storm_warning,operational_impact,resupply_feasible
2026-01-29,1,-22,-35,22,-69,PARTLY CLOUDY,GOOD,8,NONE,SUSPEND ALL OUTDOOR OPERATIONS,YES
2026-01-30,2,-28,-44,15,-75,PARTLY CLOUDY,GOOD,7,NONE,SUSPEND ALL OUTDOOR OPERATIONS,YES
2026-01-31,3,-22,-36,10,-60,PARTLY CLOUDY,GOOD,18,NONE,EMERGENCY OPERATIONS ONLY,YES
2026-02-01,4,-36,-58,49,-113,HEAVY SNOW / BLIZZARD,POOR,68,BLIZZARD WARNING,SUSPEND ALL OUTDOOR OPERATIONS,NO
2026-02-02,5,-40,-62,43,-116,HEAVY SNOW / BLIZZARD,POOR,61,BLIZZARD WARNING,SUSPEND ALL OUTDOOR OPERATIONS,NO
2026-02-03,6,-60,-70,34,-123,EXTREME COLD,MODERATE,11,EXTREME COLD WARNING,SUSPEND ALL OUTDOOR OPERATIONS,NO
2026-02-04,7,-47,-63,16,-101,EXTREME COLD,MODERATE,2,EXTREME COLD WARNING,SUSPEND ALL OUTDOOR OPERATIONS,NO
2026-02-05,8,-60,-74,31,-126,EXTREME COLD,MODERATE,23,EXTREME COLD WARNING,SUSPEND ALL OUTDOOR OPERATIONS,NO
2026-02-06,9,-45,-57,10,-86,COLD / CLEARING,GOOD,1,COLD WEATHER ADVISORY,SUSPEND ALL OUTDOOR OPERATIONS,NO
2026-02-07,10,-44,-57,15,-92,COLD / CLEARING,GOOD,22,COLD WEATHER ADVISORY,SUSPEND ALL OUTDOOR OPERATIONS,NO
2026-02-08,11,-41,-51,10,-79,COLD / CLEARING,GOOD,18,COLD WEATHER ADVISORY,SUSPEND ALL OUTDOOR OPERATIONS,YES
2026-02-09,12,-29,-43,16,-75,PARTLY CLOUDY,GOOD,25,NONE,SUSPEND ALL OUTDOOR OPERATIONS,YES
2026-02-10,13,-25,-38,11,-64,PARTLY CLOUDY,GOOD,10,NONE,EMERGENCY OPERATIONS ONLY,YES
2026-02-11,14,-23,-35,5,-51,PARTLY CLOUDY,GOOD,5,NONE,LIMITED OPERATIONS - BUDDY SYSTEM REQUIRED,YES
